num_voters,title,url,avg_rating,rank,geek_rating,release_date
900.0,City Tycoon,/boardgame/104994/city-tycoon,6.55,2188,5.973,2011
588.0,Rush & Bash,/boardgame/177965/rush-bash,6.89,2189,5.973,2015
1629.0,Council of Verona,/boardgame/140863/council-verona,6.4,1995,6.027,2013
1595.0,Resident Evil Deck Building Game,/boardgame/79073/resident-evil-deck-building-game,6.53,1996,6.027,2010
263.0,Saga,/boardgame/101865/saga,8.03,2388,5.929,2011
900.0,Luchador! Mexican Wrestling Dice,/boardgame/143075/luchador-mexican-wrestling-dice,6.52,2389,5.929,2013
1446.0,Dungeon Run,/boardgame/66424/dungeon-run,6.3,2490,5.908,2011
296.0,Star Wars: Legion,/boardgame/233571/star-wars-legion,8.18,2491,5.908,2018
494.0,Star Trek Deck Building Game: The Next Generation – Next Phase,/boardgame/111502/star-trek-deck-building-game-next-generation-next,6.8,2687,5.87,2012
233.0,Dungeon Alliance,/boardgame/209660/dungeon-alliance,8.08,2688,5.87,2018
741.0,Facts in Five,/boardgame/1233/facts-five,6.09,3860,5.716,1964
136.0,Unconditional Surrender! Case Blue,/boardgame/88253/unconditional-surrender-case-blue,7.52,3861,5.716,2010
206.0,Chariot Lords,/boardgame/289/chariot-lords,6.66,4364,5.675,1999
347.0,Conquest,/boardgame/67/conquest,6.27,4365,5.675,1974
88.0,Root,/boardgame/237182/root,8.13,4646,5.659,2018
349.0,Hunting Party,/boardgame/18975/hunting-party,6.21,4647,5.659,2005
127.0,Ancient Battles Deluxe,/boardgame/36596/ancient-battles-deluxe,7.0,4745,5.653,2008
251.0,Islas Canarias,/boardgame/40370/islas-canarias,6.35,4746,5.653,2009
176.0,How to Rob a Bank,/boardgame/232079/how-rob-bank,7.08,4450,5.671,2017
465.0,Firepower,/boardgame/3692/firepower,6.13,4451,5.671,1984
142.0,Over the Reich,/boardgame/8316/over-reich,7.61,4154,5.691,1994
1676.0,Five Crowns,/boardgame/1472/five-crowns,5.89,4155,5.691,1996
159.0,Mistborn: House War,/boardgame/182626/mistborn-house-war,7.0,4858,5.647,2017
105.0,Blitzkrieg Commander,/boardgame/15827/blitzkrieg-commander,7.46,4859,5.647,2004
1079.0,Save Doctor Lucky,/boardgame/1157/save-doctor-lucky,5.85,4943,5.643,2000
275.0,Dig Down Dwarf,/boardgame/150364/dig-down-dwarf,6.32,4944,5.643,2013
141.0,D100 Dungeon,/boardgame/237031/d100-dungeon,8.02,4057,5.698,2017
256.0,Dragonscroll,/boardgame/165404/dragonscroll,6.62,4058,5.698,2014
282.0,Villages,/boardgame/114684/villages,6.59,4252,5.683,2011
493.0,Munchkin Panic,/boardgame/156786/munchkin-panic,6.2,4253,5.683,2014
295.0,Bangkok Klongs,/boardgame/82424/bangkok-klongs,6.3,4562,5.665,2010
728.0,Naval Battles,/boardgame/13728/naval-battles,5.94,4563,5.664,2004
274.0,Voyage of the B.S.M. Pandora,/boardgame/2678/voyage-bsm-pandora,6.65,3968,5.706,1981
507.0,Dice Brewing,/boardgame/157322/dice-brewing,6.25,3969,5.706,2014
418.0,Gladiator,/boardgame/1693/gladiator,6.5,3566,5.746,1981
315.0,Members Only,/boardgame/344/members-only,6.59,3567,5.746,1996
819.0,Sunken City,/boardgame/9021/sunken-city,6.17,3368,5.77,2004
322.0,Hex Hex XL,/boardgame/79067/hex-hex-xl,6.76,3369,5.77,2010
267.0,Fire in the East,/boardgame/8993/fire-east,7.48,2972,5.825,1984
180.0,On to Richmond!,/boardgame/4205/richmond,7.94,2973,5.825,1998
141.0,18NEB,/boardgame/38986/18neb,7.55,3666,5.736,2010
164.0,The Horus Heresy: Betrayal at Calth,/boardgame/187679/horus-heresy-betrayal-calth,7.59,3667,5.735,2015
349.0,The Shipwreck Arcana,/boardgame/220517/shipwreck-arcana,7.66,2096,5.998,2017
838.0,Nevermore,/boardgame/173047/nevermore,6.71,2097,5.998,2015
216.0,Dungeon Degenerates: Hand of Doom,/boardgame/210232/dungeon-degenerates-hand-doom,8.96,2877,5.84,2017
203.0,Nothing Gained But Glory,/boardgame/39019/nothing-gained-glory,7.74,2878,5.84,2010
383.0,WINK,/boardgame/13507/wink,6.65,3170,5.795,1994
492.0,Uncharted: The Board Game,/boardgame/123045/uncharted-board-game,6.53,3171,5.795,2012
165.0,B-17 Flying Fortress Leader,/boardgame/188164/b-17-flying-fortress-leader,8.16,3272,5.781,2017
130.0,La Bataille de la Moscowa (third edition),/boardgame/85424/la-bataille-de-la-moscowa-third-edition,8.56,3273,5.78,2011
347.0,Revolver 2: Last Stand at Malpaso,/boardgame/128733/revolver-2-last-stand-malpaso,7.08,2780,5.855,2012
